Jan Rutta,959,3,6,71,70,64,0.12122002
Johnathan Kovacevic,1341,3,12,93,86,92,0.12061894
Owen Power,1880,4,31,27,86,130,0.12007978
Justin Holl,1619,2,16,151,139,60,0.11998147
Isac Lundeström,874,4,10,20,43,60,0.11956521
Chris Tanev,1308,1,12,51,130,75,0.11907492
Marc Staal,1492,3,12,152,122,55,0.11796246
Vladislav Gavrikov,1582,6,13,74,115,89,0.11788874
Jaycob Megna,1019,1,11,86,66,56,0.11776251
Mattias Samuelsson,1220,2,8,107,91,76,0.11741803
Troy Stecher,1326,3,11,70,92,88,0.11613876
Marc-Édouard Vlasic,1363,1,17,45,116,67,0.11610418
Brendan Smith,933,0,5,102,76,58,0.11521972
T.J. Brodie,1231,2,12,47,111,58,0.11474411
Jonathon Merrill,1106,2,10,47,107,43,0.11369801
Mario Ferraro,1555,4,7,129,145,66,0.11366559
Artem Zub,1073,3,7,131,67,41,0.11300093
Cody Ceci,1611,1,14,139,110,88,0.11188702
Mathew Dumba,1681,4,10,104,116,99,0.10797144
John Marino,1349,4,14,44,81,67,0.10748702
Tim Berni,1001,1,2,122,74,58,0.1068931
Jack Johnson,1589,2,6,117,127,92,0.10431088
Nick Leddy,1648,2,21,43,96,79,0.10330703
Henri Jokiharju,1261,3,10,63,58,79,0.10130848
Patrik Nemeth,1333,0,5,116,118,62,0.10052513
Niko Mikkola,1412,1,5,151,106,62,0.10003541
Jacob Bryson,861,1,8,34,69,27,0.09872241
